"Tahun","JHT","JKK","JKM","JP","JKP","BPJS"
2015,28475404727441,3505452873971,1590550301075,2620304568826,NA,3140403518972
2016,32979753948657,4108402358924,1829140240579,9705866235008,NA,4680064727673
2017,37322309737259,4649778324538,2121361037501,12318952950156,NA,4.755082e+12
2018,42455110302968,5322847854796,2495533248010,14826292754321,NA,4608412560228
2019,47438164542003,5926428381819,2814030175323,17248873008462,NA,4701083243362
2020,44136252653559,6058299167446,3016220932448,21375622586711,NA,4.741836e+12
2021,5.009e+13,6.55e+12,3.45e+12,2.62e+13,4.8e+12,5.05e+12
2022,5.43e+13,7.05e+12,3.75e+12,2.91e+13,5.2e+12,5.3e+12
2023,5.89e+13,7.6e+12,4.1e+12,3.26e+13,5.65e+12,5.55e+12
2024,6.32e+13,8.1e+12,4.45e+12,3.6e+13,6.05e+12,5.85e+12
2025,6.8e+13,8.7e+12,4.85e+12,4.02e+13,6.5e+12,6.2e+12
