"Tahun","JHT","JKK","JKM","JP","JKP","BPJS"
2014,12894359909168,651069412058,455222622140,NA,NA,2512301201466
2015,16758611322043,661174429195,463630900000,35813453239,NA,3020214597131
2016,17973040489530,832774958178,594129500000,161751216426,NA,3559295906240
2017,23235011452882,971953102983,6.1214e+11,375285235058,NA,4007275246879
2018,25446765834893,1226808744602,708023350000,223178745477,NA,4394629277992
2019,27441422561862,1199338483136,753103670000,356419707459,NA,4623640991547
2020,24150383865095,1116586232514,760940010000,844861637824,NA,4227029018264
2021,27219203937868,1571379843273,921624900000,1648905482669,29114934422,5390640281605
2022,30573277026638,1581982482067,1001246860000,2870698808317,9.6367e+10,5417190224043
2023,3.2919e+13,1.72e+12,1.04e+12,3.25e+12,1.65e+11,5.9e+12
2024,3.51e+13,1.85e+12,1.12e+12,3.6e+12,2.2e+11,6.2e+12
2025,3.74e+13,2e+12,1.21e+12,4.05e+12,2.8e+11,6.5e+12
