"dataset","target","year","is_missing","reason_category","data_points_available","chosen_treatment"
"klaim","JP",2014,TRUE,"legacy",11,"exclude_year"
"klaim","JKP",2014,TRUE,"structural",5,"exclude_years"
"klaim","JKP",2015,TRUE,"structural",5,"exclude_years"
"klaim","JKP",2016,TRUE,"structural",5,"exclude_years"
"klaim","JKP",2017,TRUE,"structural",5,"exclude_years"
"klaim","JKP",2018,TRUE,"structural",5,"exclude_years"
"klaim","JKP",2019,TRUE,"structural",5,"exclude_years"
"klaim","JKP",2020,TRUE,"structural",5,"exclude_years"
"iuran","JKP",2015,TRUE,"structural",5,"exclude_years"
"iuran","JKP",2016,TRUE,"structural",5,"exclude_years"
"iuran","JKP",2017,TRUE,"structural",5,"exclude_years"
"iuran","JKP",2018,TRUE,"structural",5,"exclude_years"
"iuran","JKP",2019,TRUE,"structural",5,"exclude_years"
"iuran","JKP",2020,TRUE,"structural",5,"exclude_years"
