Tahun;JHT;JKK;JKM;JP;JKP;BPJS
2015;28,475,404,727,441.00;3,505,452,873,971.00;1,590,550,301,075.00;2,620,304,568,826.00;;3,140,403,518,972.00
2016;32,979,753,948,657.00;4,108,402,358,924.00;1,829,140,240,579.00;9,705,866,235,008.00;;4,680,064,727,673.00
2017;37,322,309,737,259.00;4,649,778,324,538.00;2,121,361,037,501.00;12,318,952,950,156.00;;4,755,082,000,000.00
2018;42,455,110,302,968.00;5,322,847,854,796.00;2,495,533,248,010.00;14,826,292,754,321.00;;4,608,412,560,228.00
2019;47,438,164,542,003.00;5,926,428,381,819.00;2,814,030,175,323.00;17,248,873,008,462.00;;4,701,083,243,362.00
2020;44,136,252,653,559.00;6,058,299,167,446.00;3,016,220,932,448.00;21,375,622,586,711.00;;4,741,836,000,000.00
2021;50,090,000,000,000.00;6,550,000,000,000.00;3,450,000,000,000.00;26,200,000,000,000.00;4,800,000,000,000.00;5,050,000,000,000.00
2022;54,300,000,000,000.00;7,050,000,000,000.00;3,750,000,000,000.00;29,100,000,000,000.00;5,200,000,000,000.00;5,300,000,000,000.00
2023;58,900,000,000,000.00;7,600,000,000,000.00;4,100,000,000,000.00;32,600,000,000,000.00;5,650,000,000,000.00;5,550,000,000,000.00
2024;63,200,000,000,000.00;8,100,000,000,000.00;4,450,000,000,000.00;36,000,000,000,000.00;6,050,000,000,000.00;5,850,000,000,000.00
2025;68,000,000,000,000.00;8,700,000,000,000.00;4,850,000,000,000.00;40,200,000,000,000.00;6,500,000,000,000.00;6,200,000,000,000.00
