Tahun;JHT;JKK;JKM;JP;JKP;BPJS
2014;12,894,359,909,168.00;651,069,412,058.00;455,222,622,140.00;;;2,512,301,201,466.00
2015;16,758,611,322,043.00;661,174,429,195.00;463,630,900,000.00;35,813,453,239.00;;3,020,214,597,131.00
2016;17,973,040,489,530.00;832,774,958,178.00;594,129,500,000.00;161,751,216,426.00;;3,559,295,906,240.00
2017;23,235,011,452,882.00;971,953,102,983.00;612,140,000,000.00;375,285,235,058.00;;4,007,275,246,879.00
2018;25,446,765,834,893.00;1,226,808,744,602.00;708,023,350,000.00;223,178,745,477.00;;4,394,629,277,992.00
2019;27,441,422,561,862.00;1,199,338,483,136.00;753,103,670,000.00;356,419,707,459.00;;4,623,640,991,547.00
2020;24,150,383,865,095.00;1,116,586,232,514.00;760,940,010,000.00;844,861,637,824.00;;4,227,029,018,264.00
2021;27,219,203,937,868.00;1,571,379,843,273.00;921,624,900,000.00;1,648,905,482,669.00;29,114,934,422.00;5,390,640,281,605.00
2022;30,573,277,026,638.00;1,581,982,482,067.00;1,001,246,860,000.00;2,870,698,808,317.00;96,367,000,000.00;5,417,190,224,043.00
2023;32,919,000,000,000.00;1,720,000,000,000.00;1,040,000,000,000.00;3,250,000,000,000.00;165,000,000,000.00;5,900,000,000,000.00
2024;35,100,000,000,000.00;1,850,000,000,000.00;1,120,000,000,000.00;3,600,000,000,000.00;220,000,000,000.00;6,200,000,000,000.00
2025;37,400,000,000,000.00;2,000,000,000,000.00;1,210,000,000,000.00;4,050,000,000,000.00;280,000,000,000.00;6,500,000,000,000.00
