"year","dataset","target","model","actual","predicted"
2014,"klaim","JHT","lstm",12894359909168,NA
2015,"klaim","JHT","lstm",16758611322043,NA
2016,"klaim","JHT","lstm",17973040489530,NA
2017,"klaim","JHT","lstm",23235011452882,NA
2018,"klaim","JHT","lstm",25446765834893,NA
2019,"klaim","JHT","lstm",27441422561862,NA
2020,"klaim","JHT","lstm",24150383865095,NA
2021,"klaim","JHT","lstm",27219203937868,NA
2022,"klaim","JHT","lstm",30573277026638,NA
2023,"klaim","JHT","lstm",3.2919e+13,NA
2024,"klaim","JHT","lstm",3.51e+13,NA
2025,"klaim","JHT","lstm",3.74e+13,NA
2026,"klaim","JHT","lstm",NA,39908622508454.4
2027,"klaim","JHT","lstm",NA,41457925170499.5
2028,"klaim","JHT","lstm",NA,42846801724753.1
2029,"klaim","JHT","lstm",NA,44008284291271.1
2030,"klaim","JHT","lstm",NA,44850042263985.2
2014,"klaim","JHT","h2o",12894359909168,NA
2015,"klaim","JHT","h2o",16758611322043,NA
2016,"klaim","JHT","h2o",17973040489530,NA
2017,"klaim","JHT","h2o",23235011452882,NA
2018,"klaim","JHT","h2o",25446765834893,NA
2019,"klaim","JHT","h2o",27441422561862,NA
2020,"klaim","JHT","h2o",24150383865095,NA
2021,"klaim","JHT","h2o",27219203937868,NA
2022,"klaim","JHT","h2o",30573277026638,NA
2023,"klaim","JHT","h2o",3.2919e+13,NA
2024,"klaim","JHT","h2o",3.51e+13,NA
2025,"klaim","JHT","h2o",3.74e+13,NA
2026,"klaim","JHT","h2o",NA,35098862491696
2027,"klaim","JHT","h2o",NA,35098862491696
2028,"klaim","JHT","h2o",NA,35098862491696
2029,"klaim","JHT","h2o",NA,35098862491696
2030,"klaim","JHT","h2o",NA,35098862491696
2014,"klaim","JKK","lstm",651069412058,NA
2015,"klaim","JKK","lstm",661174429195,NA
2016,"klaim","JKK","lstm",832774958178,NA
2017,"klaim","JKK","lstm",971953102983,NA
2018,"klaim","JKK","lstm",1226808744602,NA
2019,"klaim","JKK","lstm",1199338483136,NA
2020,"klaim","JKK","lstm",1116586232514,NA
2021,"klaim","JKK","lstm",1571379843273,NA
2022,"klaim","JKK","lstm",1581982482067,NA
2023,"klaim","JKK","lstm",1.72e+12,NA
2024,"klaim","JKK","lstm",1.85e+12,NA
2025,"klaim","JKK","lstm",2e+12,NA
2026,"klaim","JKK","lstm",NA,2113190036431.55
2027,"klaim","JKK","lstm",NA,2242067249397.77
2028,"klaim","JKK","lstm",NA,2366633600394.81
2029,"klaim","JKK","lstm",NA,2478299204885.61
2030,"klaim","JKK","lstm",NA,2586255679930.67
2014,"klaim","JKK","h2o",651069412058,NA
2015,"klaim","JKK","h2o",661174429195,NA
2016,"klaim","JKK","h2o",832774958178,NA
2017,"klaim","JKK","h2o",971953102983,NA
2018,"klaim","JKK","h2o",1226808744602,NA
2019,"klaim","JKK","h2o",1199338483136,NA
2020,"klaim","JKK","h2o",1116586232514,NA
2021,"klaim","JKK","h2o",1571379843273,NA
2022,"klaim","JKK","h2o",1581982482067,NA
2023,"klaim","JKK","h2o",1.72e+12,NA
2024,"klaim","JKK","h2o",1.85e+12,NA
2025,"klaim","JKK","h2o",2e+12,NA
2026,"klaim","JKK","h2o",NA,1849952218102.33
2027,"klaim","JKK","h2o",NA,1849952218102.33
2028,"klaim","JKK","h2o",NA,1849952218102.33
2029,"klaim","JKK","h2o",NA,1849952218102.33
2030,"klaim","JKK","h2o",NA,1849952218102.33
2014,"klaim","JKM","lstm",455222622140,NA
2015,"klaim","JKM","lstm",463630900000,NA
2016,"klaim","JKM","lstm",594129500000,NA
2017,"klaim","JKM","lstm",6.1214e+11,NA
2018,"klaim","JKM","lstm",708023350000,NA
2019,"klaim","JKM","lstm",753103670000,NA
2020,"klaim","JKM","lstm",760940010000,NA
2021,"klaim","JKM","lstm",921624900000,NA
2022,"klaim","JKM","lstm",1001246860000,NA
2023,"klaim","JKM","lstm",1.04e+12,NA
2024,"klaim","JKM","lstm",1.12e+12,NA
2025,"klaim","JKM","lstm",1.21e+12,NA
2026,"klaim","JKM","lstm",NA,1258527642088.28
2027,"klaim","JKM","lstm",NA,1326076850846.96
2028,"klaim","JKM","lstm",NA,1386162421029.27
2029,"klaim","JKM","lstm",NA,1435013078662.74
2030,"klaim","JKM","lstm",NA,1482034514559.79
2014,"klaim","JKM","h2o",455222622140,NA
2015,"klaim","JKM","h2o",463630900000,NA
2016,"klaim","JKM","h2o",594129500000,NA
2017,"klaim","JKM","h2o",6.1214e+11,NA
2018,"klaim","JKM","h2o",708023350000,NA
2019,"klaim","JKM","h2o",753103670000,NA
2020,"klaim","JKM","h2o",760940010000,NA
2021,"klaim","JKM","h2o",921624900000,NA
2022,"klaim","JKM","h2o",1001246860000,NA
2023,"klaim","JKM","h2o",1.04e+12,NA
2024,"klaim","JKM","h2o",1.12e+12,NA
2025,"klaim","JKM","h2o",1.21e+12,NA
2026,"klaim","JKM","h2o",NA,1119800357672
2027,"klaim","JKM","h2o",NA,1119800357672
2028,"klaim","JKM","h2o",NA,1119800357672
2029,"klaim","JKM","h2o",NA,1119800357672
2030,"klaim","JKM","h2o",NA,1119800357672
2015,"klaim","JP","lstm",35813453239,NA
2016,"klaim","JP","lstm",161751216426,NA
2017,"klaim","JP","lstm",375285235058,NA
2018,"klaim","JP","lstm",223178745477,NA
2019,"klaim","JP","lstm",356419707459,NA
2020,"klaim","JP","lstm",844861637824,NA
2021,"klaim","JP","lstm",1648905482669,NA
2022,"klaim","JP","lstm",2870698808317,NA
2023,"klaim","JP","lstm",3.25e+12,NA
2024,"klaim","JP","lstm",3.6e+12,NA
2025,"klaim","JP","lstm",4.05e+12,NA
2026,"klaim","JP","lstm",NA,4335800085864.06
2027,"klaim","JP","lstm",NA,4653922367532.35
2028,"klaim","JP","lstm",NA,4950565426743.48
2029,"klaim","JP","lstm",NA,5194436860651.55
2030,"klaim","JP","lstm",NA,5417538729610.46
2015,"klaim","JP","h2o",35813453239,NA
2016,"klaim","JP","h2o",161751216426,NA
2017,"klaim","JP","h2o",375285235058,NA
2018,"klaim","JP","h2o",223178745477,NA
2019,"klaim","JP","h2o",356419707459,NA
2020,"klaim","JP","h2o",844861637824,NA
2021,"klaim","JP","h2o",1648905482669,NA
2022,"klaim","JP","h2o",2870698808317,NA
2023,"klaim","JP","h2o",3.25e+12,NA
2024,"klaim","JP","h2o",3.6e+12,NA
2025,"klaim","JP","h2o",4.05e+12,NA
2026,"klaim","JP","h2o",NA,3759229355388.34
2027,"klaim","JP","h2o",NA,3759229355388.34
2028,"klaim","JP","h2o",NA,3759229355388.34
2029,"klaim","JP","h2o",NA,3759229355388.34
2030,"klaim","JP","h2o",NA,3759229355388.34
2021,"klaim","JKP","lstm",29114934422,NA
2022,"klaim","JKP","lstm",9.6367e+10,NA
2023,"klaim","JKP","lstm",1.65e+11,NA
2024,"klaim","JKP","lstm",2.2e+11,NA
2025,"klaim","JKP","lstm",2.8e+11,NA
2026,"klaim","JKP","lstm",NA,317824044338.542
2027,"klaim","JKP","lstm",NA,348740277083.485
2028,"klaim","JKP","lstm",NA,372806599794.536
2029,"klaim","JKP","lstm",NA,388640971627.687
2030,"klaim","JKP","lstm",NA,399969011019.163
2021,"klaim","JKP","h2o",29114934422,NA
2022,"klaim","JKP","h2o",9.6367e+10,NA
2023,"klaim","JKP","h2o",1.65e+11,NA
2024,"klaim","JKP","h2o",2.2e+11,NA
2025,"klaim","JKP","h2o",2.8e+11,NA
2026,"klaim","JKP","h2o",NA,280000350909.419
2027,"klaim","JKP","h2o",NA,280000350909.419
2028,"klaim","JKP","h2o",NA,280000350909.419
2029,"klaim","JKP","h2o",NA,280000350909.419
2030,"klaim","JKP","h2o",NA,280000350909.419
2014,"klaim","BPJS","lstm",2512301201466,NA
2015,"klaim","BPJS","lstm",3020214597131,NA
2016,"klaim","BPJS","lstm",3559295906240,NA
2017,"klaim","BPJS","lstm",4007275246879,NA
2018,"klaim","BPJS","lstm",4394629277992,NA
2019,"klaim","BPJS","lstm",4623640991547,NA
2020,"klaim","BPJS","lstm",4227029018264,NA
2021,"klaim","BPJS","lstm",5390640281605,NA
2022,"klaim","BPJS","lstm",5417190224043,NA
2023,"klaim","BPJS","lstm",5.9e+12,NA
2024,"klaim","BPJS","lstm",6.2e+12,NA
2025,"klaim","BPJS","lstm",6.5e+12,NA
2026,"klaim","BPJS","lstm",NA,6867413094757.72
2027,"klaim","BPJS","lstm",NA,7195695571622.67
2028,"klaim","BPJS","lstm",NA,7536109034419.96
2029,"klaim","BPJS","lstm",NA,7883395407386.51
2030,"klaim","BPJS","lstm",NA,8215410495307.57
2014,"klaim","BPJS","h2o",2512301201466,NA
2015,"klaim","BPJS","h2o",3020214597131,NA
2016,"klaim","BPJS","h2o",3559295906240,NA
2017,"klaim","BPJS","h2o",4007275246879,NA
2018,"klaim","BPJS","h2o",4394629277992,NA
2019,"klaim","BPJS","h2o",4623640991547,NA
2020,"klaim","BPJS","h2o",4227029018264,NA
2021,"klaim","BPJS","h2o",5390640281605,NA
2022,"klaim","BPJS","h2o",5417190224043,NA
2023,"klaim","BPJS","h2o",5.9e+12,NA
2024,"klaim","BPJS","h2o",6.2e+12,NA
2025,"klaim","BPJS","h2o",6.5e+12,NA
2026,"klaim","BPJS","h2o",NA,6199921932064.12
2027,"klaim","BPJS","h2o",NA,6199921932064.12
2028,"klaim","BPJS","h2o",NA,6199921932064.12
2029,"klaim","BPJS","h2o",NA,6199921932064.12
2030,"klaim","BPJS","h2o",NA,6199921932064.12
2015,"iuran","JHT","lstm",28475404727441,NA
2016,"iuran","JHT","lstm",32979753948657,NA
2017,"iuran","JHT","lstm",37322309737259,NA
2018,"iuran","JHT","lstm",42455110302968,NA
2019,"iuran","JHT","lstm",47438164542003,NA
2020,"iuran","JHT","lstm",44136252653559,NA
2021,"iuran","JHT","lstm",5.009e+13,NA
2022,"iuran","JHT","lstm",5.43e+13,NA
2023,"iuran","JHT","lstm",5.89e+13,NA
2024,"iuran","JHT","lstm",6.32e+13,NA
2025,"iuran","JHT","lstm",6.8e+13,NA
2026,"iuran","JHT","lstm",NA,73780543111031.5
2027,"iuran","JHT","lstm",NA,77553577373970
2028,"iuran","JHT","lstm",NA,81058624337309.1
2029,"iuran","JHT","lstm",NA,84125685903935.1
2030,"iuran","JHT","lstm",NA,86420810989337.4
2015,"iuran","JHT","h2o",28475404727441,NA
2016,"iuran","JHT","h2o",32979753948657,NA
2017,"iuran","JHT","h2o",37322309737259,NA
2018,"iuran","JHT","h2o",42455110302968,NA
2019,"iuran","JHT","h2o",47438164542003,NA
2020,"iuran","JHT","h2o",44136252653559,NA
2021,"iuran","JHT","h2o",5.009e+13,NA
2022,"iuran","JHT","h2o",5.43e+13,NA
2023,"iuran","JHT","h2o",5.89e+13,NA
2024,"iuran","JHT","h2o",6.32e+13,NA
2025,"iuran","JHT","h2o",6.8e+13,NA
2026,"iuran","JHT","h2o",NA,64842997967093.8
2027,"iuran","JHT","h2o",NA,64842997967093.8
2028,"iuran","JHT","h2o",NA,64842997967093.8
2029,"iuran","JHT","h2o",NA,64842997967093.8
2030,"iuran","JHT","h2o",NA,64842997967093.8
2015,"iuran","JKK","lstm",3505452873971,NA
2016,"iuran","JKK","lstm",4108402358924,NA
2017,"iuran","JKK","lstm",4649778324538,NA
2018,"iuran","JKK","lstm",5322847854796,NA
2019,"iuran","JKK","lstm",5926428381819,NA
2020,"iuran","JKK","lstm",6058299167446,NA
2021,"iuran","JKK","lstm",6.55e+12,NA
2022,"iuran","JKK","lstm",7.05e+12,NA
2023,"iuran","JKK","lstm",7.6e+12,NA
2024,"iuran","JKK","lstm",8.1e+12,NA
2025,"iuran","JKK","lstm",8.7e+12,NA
2026,"iuran","JKK","lstm",NA,9222043871667.59
2027,"iuran","JKK","lstm",NA,9882788447024.13
2028,"iuran","JKK","lstm",NA,10613119304006.9
2029,"iuran","JKK","lstm",NA,11391167423786.8
2030,"iuran","JKK","lstm",NA,12256944887336.9
2015,"iuran","JKK","h2o",3505452873971,NA
2016,"iuran","JKK","h2o",4108402358924,NA
2017,"iuran","JKK","h2o",4649778324538,NA
2018,"iuran","JKK","h2o",5322847854796,NA
2019,"iuran","JKK","h2o",5926428381819,NA
2020,"iuran","JKK","h2o",6058299167446,NA
2021,"iuran","JKK","h2o",6.55e+12,NA
2022,"iuran","JKK","h2o",7.05e+12,NA
2023,"iuran","JKK","h2o",7.6e+12,NA
2024,"iuran","JKK","h2o",8.1e+12,NA
2025,"iuran","JKK","h2o",8.7e+12,NA
2026,"iuran","JKK","h2o",NA,8312380913839.54
2027,"iuran","JKK","h2o",NA,8312380913839.54
2028,"iuran","JKK","h2o",NA,8312380913839.54
2029,"iuran","JKK","h2o",NA,8312380913839.54
2030,"iuran","JKK","h2o",NA,8312380913839.54
2015,"iuran","JKM","lstm",1590550301075,NA
2016,"iuran","JKM","lstm",1829140240579,NA
2017,"iuran","JKM","lstm",2121361037501,NA
2018,"iuran","JKM","lstm",2495533248010,NA
2019,"iuran","JKM","lstm",2814030175323,NA
2020,"iuran","JKM","lstm",3016220932448,NA
2021,"iuran","JKM","lstm",3.45e+12,NA
2022,"iuran","JKM","lstm",3.75e+12,NA
2023,"iuran","JKM","lstm",4.1e+12,NA
2024,"iuran","JKM","lstm",4.45e+12,NA
2025,"iuran","JKM","lstm",4.85e+12,NA
2026,"iuran","JKM","lstm",NA,5172827657336.65
2027,"iuran","JKM","lstm",NA,5508877510036.9
2028,"iuran","JKM","lstm",NA,5821741796909.72
2029,"iuran","JKM","lstm",NA,6087504077007.06
2030,"iuran","JKM","lstm",NA,6325618606330.14
2015,"iuran","JKM","h2o",1590550301075,NA
2016,"iuran","JKM","h2o",1829140240579,NA
2017,"iuran","JKM","h2o",2121361037501,NA
2018,"iuran","JKM","h2o",2495533248010,NA
2019,"iuran","JKM","h2o",2814030175323,NA
2020,"iuran","JKM","h2o",3016220932448,NA
2021,"iuran","JKM","h2o",3.45e+12,NA
2022,"iuran","JKM","h2o",3.75e+12,NA
2023,"iuran","JKM","h2o",4.1e+12,NA
2024,"iuran","JKM","h2o",4.45e+12,NA
2025,"iuran","JKM","h2o",4.85e+12,NA
2026,"iuran","JKM","h2o",NA,4849636992065.25
2027,"iuran","JKM","h2o",NA,4849636992065.25
2028,"iuran","JKM","h2o",NA,4849636992065.25
2029,"iuran","JKM","h2o",NA,4849636992065.25
2030,"iuran","JKM","h2o",NA,4849636992065.25
2015,"iuran","JP","lstm",2620304568826,NA
2016,"iuran","JP","lstm",9705866235008,NA
2017,"iuran","JP","lstm",12318952950156,NA
2018,"iuran","JP","lstm",14826292754321,NA
2019,"iuran","JP","lstm",17248873008462,NA
2020,"iuran","JP","lstm",21375622586711,NA
2021,"iuran","JP","lstm",2.62e+13,NA
2022,"iuran","JP","lstm",2.91e+13,NA
2023,"iuran","JP","lstm",3.26e+13,NA
2024,"iuran","JP","lstm",3.6e+13,NA
2025,"iuran","JP","lstm",4.02e+13,NA
2026,"iuran","JP","lstm",NA,43809705363404.7
2027,"iuran","JP","lstm",NA,47435856251731.8
2028,"iuran","JP","lstm",NA,51016783066484.7
2029,"iuran","JP","lstm",NA,54193300491067.1
2030,"iuran","JP","lstm",NA,57101421214710.3
2015,"iuran","JP","h2o",2620304568826,NA
2016,"iuran","JP","h2o",9705866235008,NA
2017,"iuran","JP","h2o",12318952950156,NA
2018,"iuran","JP","h2o",14826292754321,NA
2019,"iuran","JP","h2o",17248873008462,NA
2020,"iuran","JP","h2o",21375622586711,NA
2021,"iuran","JP","h2o",2.62e+13,NA
2022,"iuran","JP","h2o",2.91e+13,NA
2023,"iuran","JP","h2o",3.26e+13,NA
2024,"iuran","JP","h2o",3.6e+13,NA
2025,"iuran","JP","h2o",4.02e+13,NA
2026,"iuran","JP","h2o",NA,40199563197944.5
2027,"iuran","JP","h2o",NA,40199563197944.5
