"year","dataset","target","model","actual","predicted"
2015,"iuran","JKK","h2o",3505452873971,NA
2016,"iuran","JKK","h2o",4108402358924,NA
2017,"iuran","JKK","h2o",4649778324538,NA
2018,"iuran","JKK","h2o",5322847854796,NA
2019,"iuran","JKK","h2o",5926428381819,NA
2020,"iuran","JKK","h2o",6058299167446,NA
2021,"iuran","JKK","h2o",6.55e+12,NA
2022,"iuran","JKK","h2o",7.05e+12,NA
2023,"iuran","JKK","h2o",7.6e+12,NA
2024,"iuran","JKK","h2o",8.1e+12,NA
2025,"iuran","JKK","h2o",8.7e+12,NA
2026,"iuran","JKK","h2o",NA,8312380913839.54
2027,"iuran","JKK","h2o",NA,8312380913839.54
2028,"iuran","JKK","h2o",NA,8312380913839.54
2029,"iuran","JKK","h2o",NA,8312380913839.54
2030,"iuran","JKK","h2o",NA,8312380913839.54
