"year","dataset","target","model","actual","predicted"
2014,"klaim","BPJS","h2o",2512301201466,NA
2015,"klaim","BPJS","h2o",3020214597131,NA
2016,"klaim","BPJS","h2o",3559295906240,NA
2017,"klaim","BPJS","h2o",4007275246879,NA
2018,"klaim","BPJS","h2o",4394629277992,NA
2019,"klaim","BPJS","h2o",4623640991547,NA
2020,"klaim","BPJS","h2o",4227029018264,NA
2021,"klaim","BPJS","h2o",5390640281605,NA
2022,"klaim","BPJS","h2o",5417190224043,NA
2023,"klaim","BPJS","h2o",5.9e+12,NA
2024,"klaim","BPJS","h2o",6.2e+12,NA
2025,"klaim","BPJS","h2o",6.5e+12,NA
2026,"klaim","BPJS","h2o",NA,6199921932064.12
2027,"klaim","BPJS","h2o",NA,6199921932064.12
2028,"klaim","BPJS","h2o",NA,6199921932064.12
2029,"klaim","BPJS","h2o",NA,6199921932064.12
2030,"klaim","BPJS","h2o",NA,6199921932064.12
