"year","dataset","target","model","actual","predicted"
2014,"klaim","JHT","h2o",12894359909168,NA
2015,"klaim","JHT","h2o",16758611322043,NA
2016,"klaim","JHT","h2o",17973040489530,NA
2017,"klaim","JHT","h2o",23235011452882,NA
2018,"klaim","JHT","h2o",25446765834893,NA
2019,"klaim","JHT","h2o",27441422561862,NA
2020,"klaim","JHT","h2o",24150383865095,NA
2021,"klaim","JHT","h2o",27219203937868,NA
2022,"klaim","JHT","h2o",30573277026638,NA
2023,"klaim","JHT","h2o",3.2919e+13,NA
2024,"klaim","JHT","h2o",3.51e+13,NA
2025,"klaim","JHT","h2o",3.74e+13,NA
2026,"klaim","JHT","h2o",NA,35098862491696
2027,"klaim","JHT","h2o",NA,35098862491696
2028,"klaim","JHT","h2o",NA,35098862491696
2029,"klaim","JHT","h2o",NA,35098862491696
2030,"klaim","JHT","h2o",NA,35098862491696
