"year","dataset","target","model","actual","predicted"
2014,"klaim","JKK","h2o",651069412058,NA
2015,"klaim","JKK","h2o",661174429195,NA
2016,"klaim","JKK","h2o",832774958178,NA
2017,"klaim","JKK","h2o",971953102983,NA
2018,"klaim","JKK","h2o",1226808744602,NA
2019,"klaim","JKK","h2o",1199338483136,NA
2020,"klaim","JKK","h2o",1116586232514,NA
2021,"klaim","JKK","h2o",1571379843273,NA
2022,"klaim","JKK","h2o",1581982482067,NA
2023,"klaim","JKK","h2o",1.72e+12,NA
2024,"klaim","JKK","h2o",1.85e+12,NA
2025,"klaim","JKK","h2o",2e+12,NA
2026,"klaim","JKK","h2o",NA,1849952218102.33
2027,"klaim","JKK","h2o",NA,1849952218102.33
2028,"klaim","JKK","h2o",NA,1849952218102.33
2029,"klaim","JKK","h2o",NA,1849952218102.33
2030,"klaim","JKK","h2o",NA,1849952218102.33
