"year","dataset","target","model","actual","predicted"
2014,"klaim","JKM","h2o",455222622140,NA
2015,"klaim","JKM","h2o",463630900000,NA
2016,"klaim","JKM","h2o",594129500000,NA
2017,"klaim","JKM","h2o",6.1214e+11,NA
2018,"klaim","JKM","h2o",708023350000,NA
2019,"klaim","JKM","h2o",753103670000,NA
2020,"klaim","JKM","h2o",760940010000,NA
2021,"klaim","JKM","h2o",921624900000,NA
2022,"klaim","JKM","h2o",1001246860000,NA
2023,"klaim","JKM","h2o",1.04e+12,NA
2024,"klaim","JKM","h2o",1.12e+12,NA
2025,"klaim","JKM","h2o",1.21e+12,NA
2026,"klaim","JKM","h2o",NA,1119800357672
2027,"klaim","JKM","h2o",NA,1119800357672
2028,"klaim","JKM","h2o",NA,1119800357672
2029,"klaim","JKM","h2o",NA,1119800357672
2030,"klaim","JKM","h2o",NA,1119800357672
