"year","dataset","target","model","actual","predicted"
2015,"klaim","JP","h2o",35813453239,NA
2016,"klaim","JP","h2o",161751216426,NA
2017,"klaim","JP","h2o",375285235058,NA
2018,"klaim","JP","h2o",223178745477,NA
2019,"klaim","JP","h2o",356419707459,NA
2020,"klaim","JP","h2o",844861637824,NA
2021,"klaim","JP","h2o",1648905482669,NA
2022,"klaim","JP","h2o",2870698808317,NA
2023,"klaim","JP","h2o",3.25e+12,NA
2024,"klaim","JP","h2o",3.6e+12,NA
2025,"klaim","JP","h2o",4.05e+12,NA
2026,"klaim","JP","h2o",NA,3759229355388.34
2027,"klaim","JP","h2o",NA,3759229355388.34
2028,"klaim","JP","h2o",NA,3759229355388.34
2029,"klaim","JP","h2o",NA,3759229355388.34
2030,"klaim","JP","h2o",NA,3759229355388.34
