"year","dataset","target","model","actual","predicted"
2015,"iuran","JKK","lstm",3505452873971,NA
2016,"iuran","JKK","lstm",4108402358924,NA
2017,"iuran","JKK","lstm",4649778324538,NA
2018,"iuran","JKK","lstm",5322847854796,NA
2019,"iuran","JKK","lstm",5926428381819,NA
2020,"iuran","JKK","lstm",6058299167446,NA
2021,"iuran","JKK","lstm",6.55e+12,NA
2022,"iuran","JKK","lstm",7.05e+12,NA
2023,"iuran","JKK","lstm",7.6e+12,NA
2024,"iuran","JKK","lstm",8.1e+12,NA
2025,"iuran","JKK","lstm",8.7e+12,NA
2026,"iuran","JKK","lstm",NA,9222043871667.59
2027,"iuran","JKK","lstm",NA,9882788447024.13
2028,"iuran","JKK","lstm",NA,10613119304006.9
2029,"iuran","JKK","lstm",NA,11391167423786.8
2030,"iuran","JKK","lstm",NA,12256944887336.9
