"year","dataset","target","model","actual","predicted"
2015,"iuran","JP","lstm",2620304568826,NA
2016,"iuran","JP","lstm",9705866235008,NA
2017,"iuran","JP","lstm",12318952950156,NA
2018,"iuran","JP","lstm",14826292754321,NA
2019,"iuran","JP","lstm",17248873008462,NA
2020,"iuran","JP","lstm",21375622586711,NA
2021,"iuran","JP","lstm",2.62e+13,NA
2022,"iuran","JP","lstm",2.91e+13,NA
2023,"iuran","JP","lstm",3.26e+13,NA
2024,"iuran","JP","lstm",3.6e+13,NA
2025,"iuran","JP","lstm",4.02e+13,NA
2026,"iuran","JP","lstm",NA,43809705363404.7
2027,"iuran","JP","lstm",NA,47435856251731.8
2028,"iuran","JP","lstm",NA,51016783066484.7
2029,"iuran","JP","lstm",NA,54193300491067.1
2030,"iuran","JP","lstm",NA,57101421214710.3
