"year","dataset","target","model","actual","predicted"
2014,"klaim","BPJS","lstm",2512301201466,NA
2015,"klaim","BPJS","lstm",3020214597131,NA
2016,"klaim","BPJS","lstm",3559295906240,NA
2017,"klaim","BPJS","lstm",4007275246879,NA
2018,"klaim","BPJS","lstm",4394629277992,NA
2019,"klaim","BPJS","lstm",4623640991547,NA
2020,"klaim","BPJS","lstm",4227029018264,NA
2021,"klaim","BPJS","lstm",5390640281605,NA
2022,"klaim","BPJS","lstm",5417190224043,NA
2023,"klaim","BPJS","lstm",5.9e+12,NA
2024,"klaim","BPJS","lstm",6.2e+12,NA
2025,"klaim","BPJS","lstm",6.5e+12,NA
2026,"klaim","BPJS","lstm",NA,6867413094757.72
2027,"klaim","BPJS","lstm",NA,7195695571622.67
2028,"klaim","BPJS","lstm",NA,7536109034419.96
2029,"klaim","BPJS","lstm",NA,7883395407386.51
2030,"klaim","BPJS","lstm",NA,8215410495307.57
