"year","dataset","target","model","actual","predicted"
2014,"klaim","JHT","lstm",12894359909168,NA
2015,"klaim","JHT","lstm",16758611322043,NA
2016,"klaim","JHT","lstm",17973040489530,NA
2017,"klaim","JHT","lstm",23235011452882,NA
2018,"klaim","JHT","lstm",25446765834893,NA
2019,"klaim","JHT","lstm",27441422561862,NA
2020,"klaim","JHT","lstm",24150383865095,NA
2021,"klaim","JHT","lstm",27219203937868,NA
2022,"klaim","JHT","lstm",30573277026638,NA
2023,"klaim","JHT","lstm",3.2919e+13,NA
2024,"klaim","JHT","lstm",3.51e+13,NA
2025,"klaim","JHT","lstm",3.74e+13,NA
2026,"klaim","JHT","lstm",NA,39908622508454.4
2027,"klaim","JHT","lstm",NA,41457925170499.5
2028,"klaim","JHT","lstm",NA,42846801724753.1
2029,"klaim","JHT","lstm",NA,44008284291271.1
2030,"klaim","JHT","lstm",NA,44850042263985.2
