"year","dataset","target","model","actual","predicted"
2014,"klaim","JKK","lstm",651069412058,NA
2015,"klaim","JKK","lstm",661174429195,NA
2016,"klaim","JKK","lstm",832774958178,NA
2017,"klaim","JKK","lstm",971953102983,NA
2018,"klaim","JKK","lstm",1226808744602,NA
2019,"klaim","JKK","lstm",1199338483136,NA
2020,"klaim","JKK","lstm",1116586232514,NA
2021,"klaim","JKK","lstm",1571379843273,NA
2022,"klaim","JKK","lstm",1581982482067,NA
2023,"klaim","JKK","lstm",1.72e+12,NA
2024,"klaim","JKK","lstm",1.85e+12,NA
2025,"klaim","JKK","lstm",2e+12,NA
2026,"klaim","JKK","lstm",NA,2113190036431.55
2027,"klaim","JKK","lstm",NA,2242067249397.77
2028,"klaim","JKK","lstm",NA,2366633600394.81
2029,"klaim","JKK","lstm",NA,2478299204885.61
2030,"klaim","JKK","lstm",NA,2586255679930.67
