"year","dataset","target","model","actual","predicted"
2014,"klaim","JKM","lstm",455222622140,NA
2015,"klaim","JKM","lstm",463630900000,NA
2016,"klaim","JKM","lstm",594129500000,NA
2017,"klaim","JKM","lstm",6.1214e+11,NA
2018,"klaim","JKM","lstm",708023350000,NA
2019,"klaim","JKM","lstm",753103670000,NA
2020,"klaim","JKM","lstm",760940010000,NA
2021,"klaim","JKM","lstm",921624900000,NA
2022,"klaim","JKM","lstm",1001246860000,NA
2023,"klaim","JKM","lstm",1.04e+12,NA
2024,"klaim","JKM","lstm",1.12e+12,NA
2025,"klaim","JKM","lstm",1.21e+12,NA
2026,"klaim","JKM","lstm",NA,1258527642088.28
2027,"klaim","JKM","lstm",NA,1326076850846.96
2028,"klaim","JKM","lstm",NA,1386162421029.27
2029,"klaim","JKM","lstm",NA,1435013078662.74
2030,"klaim","JKM","lstm",NA,1482034514559.79
